"","job_id","task_index","start_time","end_time","task_duration","number_of_entries","avg_cpu_rate","avg_memory_usage","avg_disk_io_time","avg_disk_space_usage","stdev_cpu_rate","stdev_memory_usage","stdev_disk_io_time","stdev_disk_space_usage","var_cpu_rate","var_memory_usage","var_disk_io_time","var_disk_usage_space","median_cpu_rate","median_memory_usage","median_disk_io_time","median_disk_space_usage","max_cpu_time","max_memory_usage","max_disk_io_time","max_disk_usage_space"
"9270",3695027940,17,6e+08,2.514e+11,2.412e+11,804,0.211175895522388,0.0421604228855722,0.000356332089552239,0.000115727276119403,0.0780111687381329,0.000803083453880426,0.000135722687071524,3.88428413604079e-05,0.00608574244788945,6.44943033896515e-07,1.84206477859147e-08,1.50876632494981e-09,0.2666,0.04254,0.0003262,0.0001116,2.43,0.04456,0.05988,0.0001812
"9271",3695027940,18,6e+08,2.514e+11,2.412e+11,804,0.211522960199005,0.0422971766169155,0.000336503358208955,0.000124554751243781,0.0787354575756358,0.000787554889206032,0.000106160368953789,3.89814030324575e-05,0.00619927227964474,6.20242703512325e-07,1.12700239364045e-08,1.51954978237889e-09,0.26925,0.04254,0.0003242,0.0001211,4.883,0.04456,0.06085,0.0001888
"9272",3695027940,19,6e+08,2.514e+11,2.409e+11,803,0.210219389788294,0.0424478331257784,0.000287225529265255,0.00011669301369863,0.0797659145387035,0.000490721680415177,0.000131047754838426,3.89276713360105e-05,0.00636260112219575,2.40807767629495e-07,1.71735140481921e-08,1.51536359564445e-09,0.2705,0.04254,0.000267,0.0001135,1.725,0.04456,0.09509,0.0001812
"9273",3695027940,20,6e+08,2.514e+11,2.388e+11,796,0.210873894472362,0.0422672487437189,0.000274565565326633,0.000104723040201005,0.077839074465329,0.000763157026753144,8.80083957847819e-05,3.8800196605913e-05,0.00605892151361903,5.82408647482699e-07,7.74547772861082e-09,1.5054552566575e-09,0.2686,0.0426,0.0002613,0.0001011,2.82,0.04462,0.04388,0.0001698
"9274",3695027940,21,6e+08,2.514e+11,2.379e+11,793,0.223585081967213,0.0424695334174022,0.000616091929382093,0.00012873237074401,0.0812220740805979,0.000611179856817403,0.000211099635352347,3.82007036852627e-05,0.00659702531795414,3.73540817379341e-07,4.45630560458939e-08,1.45929376204924e-09,0.2837,0.04242,0.000618,0.0001249,3.43,0.04456,0.05371,0.0001936
"9275",3695027940,22,6e+08,2.514e+11,2.421e+11,807,0.209286840148699,0.0423077075588602,0.000498234448574969,0.000105405774473358,0.0782871984109802,0.000785430181148475,0.000167022628971341,3.88394639275231e-05,0.00612888543504017,6.16900569458926e-07,2.78965585884983e-08,1.50850395817737e-09,0.2671,0.04254,0.0004826,0.000102,4.109,0.04449,0.06372,0.0001707
"9276",3695027940,23,6e+08,2.514e+11,2.43e+11,810,0.20831312345679,0.0423597037037037,0.000793533950617283,0.000102614444444445,0.0759920749950218,0.000893976083121181,0.000244886915897315,3.88296575546275e-05,0.00577479546204902,7.99193237192689e-07,5.99696015776984e-08,1.50774230580964e-09,0.2666,0.04254,0.0007596,9.918e-05,5.172,0.04456,0.1265,0.0001707
"9277",3695027940,24,6e+08,2.514e+11,2.4e+11,800,0.217391625,0.0413475875000001,0.0003513814625,0.00010980145,0.0789267616353108,0.000889117380883979,0.000119939165910829,3.85089213777742e-05,0.00622943370223717,7.90529716989987e-07,1.43854035193853e-08,1.4829370256796e-09,0.2769,0.04071,0.0003366,0.0001068,5.398,0.04272,0.04498,0.0001745
"9278",3695027940,25,6e+08,2.514e+11,2.406e+11,802,0.228900274314215,0.0422097132169577,0.000549490648379053,0.000133763827930175,0.0833292000273797,0.000688610058584607,0.000136550993341683,3.80957229430303e-05,0.00694375557720307,4.74183812783896e-07,1.86461737826003e-08,1.45128410655213e-09,0.2881,0.04248,0.0005417,0.0001307,2.633,0.04431,0.06824,0.0001984
"9279",3695027940,26,6e+08,2.514e+11,2.391e+11,797,0.213504830614806,0.0422341656210792,0.000502413927227102,0.000126255796737767,0.0770201528047562,0.000765939146770352,0.0001681366894104,3.84585815357581e-05,0.005932103938068,5.86662776555295e-07,2.82699463258892e-08,1.47906249374255e-09,0.271,0.04254,0.0004902,0.0001221,4.219,0.04456,0.07239,0.0001926
"9280",3695027940,27,6e+08,2.514e+11,2.418e+11,806,0.207884478908188,0.0414586972704715,0.000558435856079404,9.06268982630273e-05,0.0773950453975471,0.000916453149550885,0.000241307267881886,3.7580221410989e-05,0.00598999305208837,8.39886375321736e-07,5.82291975326203e-08,1.41227304129896e-09,0.2646,0.04074,0.0005088,8.965e-05,14.98,0.04266,0.06604,0.0001583
"9281",3695027940,28,6e+08,2.514e+11,2.394e+11,798,0.212676954887218,0.0422888220551379,0.000334320676691729,9.26368045112781e-05,0.0774749165568026,0.00101125156484057,0.000127918777990775,3.88548601371233e-05,0.00600236269548353,1.02262972739251e-06,1.63632137626532e-08,1.50970015627541e-09,0.27125,0.04303,0.00031235,9.0125e-05,3.773,0.04504,0.06494,0.0001593
"9282",3695027940,29,6e+08,2.514e+11,2.412e+11,804,0.218716194029851,0.0429275621890548,0.000477401616915423,0.000122495970149254,0.0801889040046791,0.000866652871893836,0.000189724189954577,3.89914842659187e-05,0.00643026032547165,7.51087200361833e-07,3.59952682539203e-08,1.52033584525938e-09,0.2778,0.04266,0.00043915,0.0001192,3.816,0.0451,0.06311,0.0001879
"9283",3695027940,30,6e+08,2.514e+11,2.397e+11,799,0.222272302878598,0.0425388485607011,0.000535590362953692,0.00010187859824781,0.0807734152008655,0.000792421450512847,0.00018012432936674,3.75785739629682e-05,0.0065243446032114,6.27931755232884e-07,3.24447740298179e-08,1.41214922109027e-09,0.2793,0.0426,0.0005188,9.918e-05,1.215,0.04462,0.07336,0.0001659
"9284",3695027940,31,6e+08,2.514e+11,2.412e+11,804,0.209347039800995,0.0422930099502489,0.000516821641791045,0.000117569701492537,0.0776395463366499,0.00063486117555702,0.000150495484942525,3.89626738153939e-05,0.00602789915536081,4.03048712229642e-07,2.26488909880857e-08,1.51808995084478e-09,0.26735,0.04254,0.0005064,0.0001135,1.803,0.04407,0.06219,0.0001831
"9285",3695027940,32,6e+08,2.514e+11,2.418e+11,806,0.222996786600496,0.0425551861042184,0.000565284987593052,0.000119592667493797,0.0812275912550028,0.000663765394912754,0.00016757925881662,3.89639456271868e-05,0.00659792158108981,4.40584499483685e-07,2.80828079855277e-08,1.51818905883837e-09,0.27955,0.04254,0.0005536,0.0001154,16.56,0.04456,0.1055,0.000185
"9286",3695027940,33,6e+08,2.514e+11,2.406e+11,802,0.216331221945137,0.0416497506234415,0.000347607855361596,0.000102461483790524,0.0779524548377668,0.00100321315873225,0.000158931240876301,3.87921837490214e-05,0.00607658521523408,1.00643664185354e-06,2.52591393264809e-08,1.50483352001784e-09,0.2734,0.04153,0.0003252,9.8705e-05,2.156,0.04468,0.0578,0.0001678
"9287",3695027940,34,6e+08,2.514e+11,2.397e+11,799,0.213064355444305,0.0423453316645807,0.000349272340425532,9.31826533166458e-05,0.0794730773098447,0.000549611262836469,0.000119234555483961,3.8811968388555e-05,0.00631597001709655,3.02072540236699e-07,1.42168792214579e-08,1.5063688901942e-09,0.271,0.04254,0.0003328,8.965e-05,5.992,0.04388,0.04883,0.0001583
"9288",3695027940,35,6e+08,2.514e+11,2.403e+11,801,0.213114943820225,0.040870049937578,0.00029781797752809,8.03518352059924e-05,0.0787263137110337,0.000641951514916137,0.0001183380685849,3.77287580666633e-05,0.0061978324705281,4.12101747503123e-07,1.40038984764045e-08,1.42345918525281e-09,0.272,0.04065,0.0002794,7.915e-05,2.234,0.04266,0.06311,0.0001478
"9289",3695027940,36,6e+08,2.514e+11,2.442e+11,814,0.209422616707617,0.0423616339066339,0.000374782800982802,0.000114081977886978,0.0775852699046833,0.000768971395607278,9.09377748354437e-05,3.81663179417984e-05,0.00601947410618255,5.91317007262205e-07,8.26967889202185e-09,1.45666782523444e-09,0.26585,0.04254,0.0003653,0.0001106,1.184,0.04456,0.06531,0.0001783
"9290",3695027940,37,6e+08,2.514e+11,2.412e+11,804,0.213441231343284,0.0423659950248759,0.000462150497512438,0.00010487276119403,0.078700979914187,0.000898423209843323,0.000118870360802059,3.90115552264102e-05,0.00619384423945326,8.0716426398518e-07,1.41301626772117e-08,1.52190144118325e-09,0.27075,0.0426,0.0004539,0.0001011,1.902,0.04462,0.06506,0.0001698
"9291",3695027940,38,6e+08,2.514e+11,2.418e+11,806,0.219927915632754,0.0424748635235734,0.000358029776674938,0.000104701972704715,0.0801576796233931,0.000940803630963589,0.000107911563201061,3.88484678669147e-05,0.00642525360260652,8.85111472034272e-07,1.16449054724966e-08,1.50920345560671e-09,0.27905,0.0426,0.0003433,0.0001011,4.32,0.04462,0.04779,0.0001698
"9292",3695027940,39,6e+08,2.514e+11,2.421e+11,807,0.216650408921933,0.0422854399008675,0.000420422304832713,0.000115042602230483,0.0794134550103521,0.000823031992747457,0.00011623086943907,3.89726448113571e-05,0.00630649683668121,6.77381661085849e-07,1.35096150105621e-08,1.5188670435922e-09,0.2764,0.04254,0.0004158,0.0001116,2.504,0.04456,0.07434,0.0001802
"9293",3695027940,40,6e+08,2.514e+11,2.421e+11,807,0.215362664188352,0.0422153903345728,0.000295271499380421,0.000108476988847584,0.0797210419804995,0.000797987894617512,8.83106401397532e-05,3.89859778982585e-05,0.00635544453445656,6.36784679956089e-07,7.79876916189298e-09,1.5199064726835e-09,0.2734,0.0426,0.0002851,0.0001049,10.84,0.04456,0.06226,0.0001736
